codigoprod;nombre;precio1
220;yerba sincaja campesino  chico 100 grs;5500
221;quitaesmalte acetona;2000
222;algodon;1500
223;chipa guazu;3000
224;milanesa de carne;5000
225;cable usb para celular 1 mts;15000
226;adaptador otg corto para celular;18000
227;adaptador otg largo para celular;20000
228;cargador para celular;20000
229;cargador para celular fino;15000
230;chipa almidon;3000
231;conserva chico;1500
232;mentitas;2000
233;chupetines;500
234;hule para hielo;2000
235;bolsa para basura;1500
236;escoba shara;5000
237;papa;
238;nescafe col cafe 250 c.c.;24000
239;zapallo;2000
240;hule para basura;1500
241;galletita maizena mana;6000
242;galleta molida;4000
243;boligrafo;2000
244;encendedor;2000
245;curita;250
246;mentolina;3500
247;prodent biotic;2500
248;ergo;1000
249;kilos azucar;
250;coquito;13000
251;galletita wafer;2500
252;pancho;27000
253;fosforo fiat lux;5500
254;ajo;2000
255;locro.;2500
256;toallitas higienica kotex;9
257;durazno nuar;9500
258;choclo en lata;3000
259;cepillo de dientes;2000
260;protector diario;4500
261;papel aluminio;4500
262;disco empanada chico;2500
263;gaseosa kampito;2000
264;juguito puro sol;
265;galletita maizena chico;2500
266;verduras en general;
267;cigarrillo kent convertible;7500
268;jugo ades grande;12000
269;chocolate de 1/2;4500
270;jugo sprim;2500
271;sandwich de jamon y queso;2500
272;agua mineral de 2 lts;3500
273;prepiza;3500
274;tortilla;2500
275;tet;
276;leche  en carton trebol;5800
277;banana;
278;especias;500
279;sopa;3000
280;foco;
281;lavandina de 1/2 lts;1500
282;hamburguesa;5000
283;mani salado;1500
284;galletitas variedadestrigal;7500
285;leche descremada sachet;4500
286;leche descremada en carton;6500
287;manzana verde;
288;necafe 125 grs;12000
289;pancito por paquete;6000
290;naranja;
291;jabon de glicerina;3000
292;pizza;3000
293;jugo whats;11000
294;jugo purosol  triangulo;3000
295;todyño choco trebol 1/2;5500
296;escarbadiente;1500
297;pegamento;2000
298;ñoquis;4800
299;disco empanada grande;5500
300;cafe mayo sobre 25 grs;1000
301;cigarrillo palermo duo de 10;4000
302;aceituna;5500
303;cigarrillo cheterfiel 10 remix;3500
304;sidra la farruca;8500
305;budin ingles;6000
306;muslo de pollo el kilo;15000
307;alita de pollo;14000
308;atun;
309;arveja;
310;durazno;
311;sardina;
312;paso de los toros;
313;gaseosa pulp de 1 lts;7000
314;yerba colon 250 grs;5000
315;cerveza  ouro fino caja 12 uni;0
316;cerveza pilsen  caja de 12 unid;0
317;cerveza skol  caja de 12 unid;0
318;cerveza ouro fino  lata normal;2000
319;cerveza polar  lata normal;
320;mayonesa hellman de 120 grs caja x20;
321;pepa caja x 20 unid;
322;gaseosa nico cola 2 lts pack de 6;
323;gaseosa de la costa guarana 330 ml  pack 12;
324;gaseosa de la costa naranja 330mil pack de 12;
325;galletita cracker salvado;5500
326;chicle brinq;150
327;baton;2500
328;caramelo nucita;600
329;chicle poosh  3 x mil;350
330;galletita anillo;6000
331;chicle bubaloo;500
332;boligrafo bic;2500
333;geladiño;500
